seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122040,random_binary_leaf_splitting,512,30,0.1,0.8,14,50000,22238720,0.23740795499998057,48461,0.96922,NeighborJoining,0.5186,0.02941176470588236,0.0,1.1608900290000292,0.7080650109999169,ok,
305122041,random_binary_leaf_splitting,512,30,0.1,0.8,15,50000,22238720,0.22771894999982578,48217,0.96434,SampledRecursiveTMC_SMJ32,0.4826,0.0,1.8299480769999263,63.81910165500017,0.7764671600000383,ok,
305122041,random_binary_leaf_splitting,512,30,0.1,0.8,15,50000,22238720,0.22771894999982578,48217,0.96434,VanillaGreedy,0.7092,0.019607843137254943,0.0,1.3695402359999207,0.9103251030001047,ok,
305122041,random_binary_leaf_splitting,512,30,0.1,0.8,15,50000,22238720,0.22771894999982578,48217,0.96434,UPGMA,0.6278,0.033333333333333326,0.0,1.4058066430000054,0.7425587640000231,ok,
305122041,random_binary_leaf_splitting,512,30,0.1,0.8,15,50000,22238720,0.22771894999982578,48217,0.96434,NeighborJoining,0.5888,0.02941176470588236,0.0,1.1215290650000043,0.8413963650000369,ok,
305122042,random_binary_leaf_splitting,512,30,0.1,0.8,16,50000,22238720,0.21398917000010442,48452,0.96904,SampledRecursiveTMC_SMJ32,0.7578,0.0,1.5290563769999608,63.20501966200004,0.7014267150000251,ok,
305122042,random_binary_leaf_splitting,512,30,0.1,0.8,16,50000,22238720,0.21398917000010442,48452,0.96904,VanillaGreedy,0.5372,0.033333333333333326,0.0,0.9995189459998528,0.990452932999915,ok,
305122042,random_binary_leaf_splitting,512,30,0.1,0.8,16,50000,22238720,0.21398917000010442,48452,0.96904,UPGMA,0.8506,0.08431372549019611,0.0,1.2502936419998605,0.7138935820000825,ok,
305122042,random_binary_leaf_splitting,512,30,0.1,0.8,16,50000,22238720,0.21398917000010442,48452,0.96904,NeighborJoining,0.4684,0.08039215686274515,0.0,1.1924281520000477,0.7870369419999861,ok,
305122043,random_binary_leaf_splitting,512,30,0.1,0.8,17,50000,22238720,0.24910608599975603,48408,0.96816,SampledRecursiveTMC_SMJ32,0.5762,0.0,1.7345059379999839,66.56375839900011,0.6482701240001916,ok,
305122043,random_binary_leaf_splitting,512,30,0.1,0.8,17,50000,22238720,0.24910608599975603,48408,0.96816,VanillaGreedy,0.542,0.02941176470588236,0.0,1.1418162719996872,0.734845297999982,ok,
305122043,random_binary_leaf_splitting,512,30,0.1,0.8,17,50000,22238720,0.24910608599975603,48408,0.96816,UPGMA,0.5428,0.06862745098039214,0.0,1.076476133000142,0.7463512829999672,ok,
305122043,random_binary_leaf_splitting,512,30,0.1,0.8,17,50000,22238720,0.24910608599975603,48408,0.96816,NeighborJoining,0.4868,0.06470588235294117,0.0,1.254354400000011,0.7418909309999435,ok,
305122044,random_binary_leaf_splitting,512,30,0.1,0.8,18,50000,22238720,0.22627893100025176,48315,0.9663,SampledRecursiveTMC_SMJ32,0.679,0.0,1.6106068679996497,59.62702394799999,0.7264309070001218,ok,
305122044,random_binary_leaf_splitting,512,30,0.1,0.8,18,50000,22238720,0.22627893100025176,48315,0.9663,VanillaGreedy,0.6242,0.04317958783120701,0.0,1.6835127529998317,0.7731874870000865,ok,
305122044,random_binary_leaf_splitting,512,30,0.1,0.8,18,50000,22238720,0.22627893100025176,48315,0.9663,UPGMA,0.782,0.08431372549019611,0.0,1.4831305499997143,0.6987944100001187,ok,
305122044,random_binary_leaf_splitting,512,30,0.1,0.8,18,50000,22238720,0.22627893100025176,48315,0.9663,NeighborJoining,0.5134,0.08039215686274515,0.0,1.2249420749999445,0.6439031740001155,ok,
