p_miss,p_miss_val,k_cand,Raw_Accuracy,Success_Probability
20% Dropout,0.2,5,0.7808,0
20% Dropout,0.2,5,0.4188,0
20% Dropout,0.2,5,0.3378,0
20% Dropout,0.2,5,0.4848,0
20% Dropout,0.2,5,0.3912,0
20% Dropout,0.2,5,0.3512,0
20% Dropout,0.2,5,0.5896,0
20% Dropout,0.2,5,0.6056,0
20% Dropout,0.2,5,0.4452,0
20% Dropout,0.2,5,0.9222,1
20% Dropout,0.2,5,0.5218,0
20% Dropout,0.2,5,0.3538,0
20% Dropout,0.2,5,0.7478,0
20% Dropout,0.2,5,0.4868,0
20% Dropout,0.2,5,0.5216,0
20% Dropout,0.2,5,0.866,0
20% Dropout,0.2,5,0.471,0
20% Dropout,0.2,5,0.3932,0
20% Dropout,0.2,10,0.4756,0
20% Dropout,0.2,10,0.5412,0
20% Dropout,0.2,10,0.4934,0
20% Dropout,0.2,10,0.9116,1
20% Dropout,0.2,10,0.3788,0
20% Dropout,0.2,10,0.8722,0
20% Dropout,0.2,10,0.8652,0
20% Dropout,0.2,10,0.7448,0
20% Dropout,0.2,10,0.8246,0
20% Dropout,0.2,10,0.3634,0
20% Dropout,0.2,10,0.4528,0
20% Dropout,0.2,10,0.5838,0
20% Dropout,0.2,10,0.5892,0
20% Dropout,0.2,10,0.573,0
20% Dropout,0.2,10,0.8768,0
